요구사항ID,구분,대분류,중분류,요구사항명,요구사항 상세설명,관련 화면/파일,우선순위,담당,진행상태,비고
REQ-DC-001,기능,데이터 수집,KOBIS,일별 박스오피스 수집,"KOBIS 오픈API를 호출하여 전일 기준 Top 10 박스오피스 데이터(순위·영화명·관객수·매출액·스크린수·상영횟수)를 수집한다.",data/collect_all.py,상,DA,완료,매일 자동 수집 (run_pipeline.bat)
REQ-DC-002,기능,데이터 수집,KOBIS,다일(Multi-day) 박스오피스 수집,"최근 N일(기본 30일)치 일별 박스오피스를 한 번에 수집하여 시계열 추세 분석이 가능하도록 한다. --days 옵션으로 기간 조절 가능.",data/collect_all.py,상,DA,완료,현재 30일 300건 수집 완료
REQ-DC-003,기능,데이터 수집,KOBIS,영화명 정제,"KOBIS API 원본에 줄거리가 영화명 필드에 포함되는 경우(50자 초과) 제목만 추출하여 정제한다.",data/collect_all.py (clean_movie_name),상,DA,완료,"너바나 더 밴드 사례 해결"
REQ-DC-004,기능,데이터 수집,TMDB,인기 영화 목록 수집,"TMDB API의 popular 엔드포인트에서 인기 영화 목록(5페이지)을 수집한다.",data/collect_all.py,상,DA,완료,99편 수집
REQ-DC-005,기능,데이터 수집,TMDB,현재 상영작 수집,"TMDB API의 now_playing 엔드포인트에서 현재 극장 상영 중인 영화 목록(3페이지)을 수집한다.",data/collect_all.py,상,DA,완료,22편 수집 (중복 제거 후)
REQ-DC-006,기능,데이터 수집,TMDB,역대 평점 Top 수집,"TMDB API의 top_rated 엔드포인트에서 역대 높은 평점 영화 목록(5페이지)을 수집한다.",data/collect_all.py,상,DA,완료,92편 수집 (중복 제거 후)
REQ-DC-007,기능,데이터 수집,TMDB,주간 트렌딩 수집,"TMDB API의 trending/movie/week 엔드포인트에서 금주 화제 영화 목록(3페이지)을 수집한다.",data/collect_all.py,상,DA,완료,18편 수집 (중복 제거 후)
REQ-DC-008,기능,데이터 수집,TMDB,영화 소스 간 중복 제거,"4개 소스(popular·now_playing·top_rated·trending)에서 수집한 영화를 TMDB ID 기준으로 중복 제거한다.",data/collect_all.py,상,DA,완료,총 231편 (중복 제거 후)
REQ-DC-009,기능,데이터 수집,TMDB,영화 상세정보 보강,"각 영화의 TMDB detail API를 호출하여 runtime·budget·revenue·status·tagline 정보를 보강한다.",data/collect_all.py (enrich_movie),상,DA,완료,231편 전체 보강 완료
REQ-DC-010,기능,데이터 수집,TMDB,크레딧 정보 수집,"각 영화의 TMDB credits API를 호출하여 감독(director)·주연 배우 Top 3(cast_top3)를 수집한다.",data/collect_all.py (enrich_movie),상,DA,완료,229/231편 수집 성공
REQ-DC-011,기능,데이터 수집,TMDB,시리즈/세계관 정보 수집,"영화가 속한 컬렉션(시리즈) 이름을 수집한다. (예: 모탈 컴뱃 리부트 시리즈)",data/collect_all.py (enrich_movie),중,DA,완료,65/231편 보유
REQ-DC-012,기능,데이터 수집,TMDB,제작국가 정보 수집,"영화의 제작 국가(production_countries) 정보를 수집한다.",data/collect_all.py (enrich_movie),중,DA,완료,228/231편 보유
REQ-DC-013,기능,데이터 수집,TMDB,장르 한글 변환,"TMDB 장르 ID를 한글 문자열 배열로 변환하여 백엔드·프론트엔드의 연산 부담을 줄인다.",data/collect_all.py (fetch_genre_map),상,DA,완료,"예: [""공포"", ""액션""]"
REQ-DC-014,기능,데이터 수집,TMDB,유사 영화 매핑 수집,"각 영화의 TMDB similar API를 호출하여 유사 영화 ID 목록을 수집한다. 추천 기능에 사용.",data/fetch_similar_movies.py,중,DA,완료,similar_movies.json 생성
REQ-DC-015,기능,데이터 수집,API,API Rate Limit 관리,"TMDB API 호출 시 40 req/10s 제한을 준수하도록 자동 대기(sleep) 로직을 적용한다.",data/collect_all.py (tmdb_get),상,DA,완료,35건마다 자동 대기
REQ-DC-016,기능,데이터 수집,출력,CSV/JSON 이중 출력,"수집된 데이터를 CSV(분석용)와 JSON(프론트/백엔드 전달용) 두 가지 형태로 동시 저장한다.",data/output/,상,DA,완료,"kobis_boxoffice_30d, tmdb_movies, movies_enriched"
REQ-AN-001,기능,데이터 분석,상관분석,평점 vs 수익 상관관계,"영화 평점과 글로벌 수익 간의 피어슨 상관계수를 산출하고 scatter 차트 데이터를 생성한다.",data/analyze.py,상,DA,완료,r = 0.1725 (약한 상관)
REQ-AN-002,기능,데이터 분석,상관분석,평점 vs 인기도 상관관계,"영화 평점과 TMDB 인기 지수 간의 피어슨 상관계수를 산출한다.",data/analyze.py,상,DA,완료,r = -0.0776 (거의 무관)
REQ-AN-003,기능,데이터 분석,상관분석,제작비 vs 수익 상관관계,"영화 제작비와 수익 간의 피어슨 상관계수를 산출한다.",data/analyze.py,상,DA,완료,r = 0.7451 (강한 상관)
REQ-AN-004,기능,데이터 분석,트렌드,연도별 트렌드 분석,"개봉 연도별 영화 수·평균 평점·평균 수익·총 수익을 집계한다.",data/analyze.py,상,DA,완료,59개 연도 분석
REQ-AN-005,기능,데이터 분석,장르,장르별 심화 분석,"장르별 영화 수·평균 평점·평균 수익·총 수익·장르 최고 평점 영화를 집계한다.",data/analyze.py,상,DA,완료,19개 장르 분석
REQ-AN-006,기능,데이터 분석,KOBIS,KOBIS 일별 추세 분석,"30일간 일별 총 관객수·총 매출액·1위 영화를 집계하여 추세 데이터를 생성한다.",data/analyze.py,상,DA,완료,30일 추세
REQ-AN-007,기능,데이터 분석,감독,감독별 성과 분석,"2편 이상 연출한 감독의 평균 평점·총 수익·작품 목록을 집계한다.",data/analyze.py,중,DA,완료,20명 감독
REQ-AN-008,기능,데이터 분석,수익성,ROI(수익성) 분석,"제작비와 수익이 모두 있는 영화에 대해 ROI = (수익-제작비)/제작비×100 을 산출한다.",data/analyze.py,중,DA,완료,124편 분석
REQ-AN-009,기능,데이터 분석,국가,제작국가별 분석,"제작 국가별 영화 수·평균 평점·총 수익을 집계한다.",data/analyze.py,중,DA,완료,37개국 분석
REQ-AN-010,기능,데이터 분석,KOBIS,KOBIS 누적 관객 순위,"KOBIS 데이터에서 영화별 최신 누적 관객수 기준 순위를 산출한다.",data/analyze.py,중,DA,완료,38편 순위
REQ-AN-011,기능,데이터 분석,출력,분석 결과 JSON 출력,"모든 분석 결과를 analysis.json으로 출력하여 프론트엔드에서 직접 사용 가능하도록 한다.",data/analyze.py → front/public/analysis.json,상,DA,완료,8개 분석 항목 포함
REQ-FE-001,기능,프론트엔드,구조,TMDB/KOBIS 2탭 구조,"대시보드를 TMDB(글로벌 영화)와 KOBIS(한국 박스오피스) 2개 탭으로 분리하여 데이터 소스별 독립 페이지를 구성한다.",front/src/App.tsx,상,FE/DA,완료,기존 5탭에서 2탭으로 리팩토링
REQ-FE-002,기능,프론트엔드,TMDB,통계 배너,"TMDB 페이지 상단에 총 영화 수·평균 평점·글로벌 수익 합계·수집 소스 4종 통계를 카드 형태로 표시한다.",front/src/App.tsx (StatCard),상,FE/DA,완료,
REQ-FE-003,기능,프론트엔드,TMDB,필터바,"연도 범위·정렬 기준·Top N·장르 필터를 제공하여 대시보드 데이터를 동적으로 필터링한다.",front/src/components/FilterBar.tsx,상,FE,완료,기존 프론트 구현 활용
REQ-FE-004,기능,프론트엔드,TMDB,영화 랭킹 그리드,"필터 조건에 맞는 영화를 포스터 카드 그리드로 표시한다. 정렬·Top N 반영.",front/src/components/RankingList.tsx,상,FE,완료,기존 프론트 구현 활용
REQ-FE-005,기능,프론트엔드,TMDB,장르 분석 차트,"장르별 영화 수·평균 평점·평균 수익 3가지 메트릭으로 전환 가능한 막대 차트. 툴팁에 장르 최고 영화 표시.",front/src/components/charts/GenreChart.tsx,상,DA,완료,analysis.json 연동
REQ-FE-006,기능,프론트엔드,TMDB,제작국가별 차트,"제작국가별 영화 수를 막대 차트로 표시. 국가명 한글 변환 적용.",front/src/components/charts/CountryChart.tsx,중,DA,완료,Top 12 국가 표시
REQ-FE-007,기능,프론트엔드,TMDB,연도별 트렌드 차트,"연도별 개봉작 수(막대) + 평균 평점 또는 평균 수익(라인)을 복합 차트로 표시. 평점/수익 모드 전환 가능.",front/src/components/charts/YearTrendChart.tsx,상,DA,완료,analysis.json 연동
REQ-FE-008,기능,프론트엔드,TMDB,감독별 평점 차트,"2편 이상 연출 감독의 평균 평점을 가로 막대 차트로 표시. 툴팁에 작품 목록 포함.",front/src/components/charts/DirectorChart.tsx,중,DA,완료,Top 15 감독 표시
REQ-FE-009,기능,프론트엔드,TMDB,상관관계 scatter 차트,"평점 vs 수익·인기도·제작비 3가지 모드 전환 가능한 산점도. 상관계수(r)와 해석(강한/약한/무관)을 실시간 표시.",front/src/components/charts/RatingScatter.tsx,상,DA,완료,analysis.json 연동
REQ-FE-010,기능,프론트엔드,TMDB,ROI 분석 차트,"영화별 수익성(ROI %)을 가로 막대 차트로 표시. 흑자(초록)/적자(빨강) 색 구분. 툴팁에 제작비·수익 표시.",front/src/components/charts/RoiChart.tsx,중,DA,완료,Top 15 + 하위 5편 표시
REQ-FE-011,기능,프론트엔드,TMDB,Top N 차트,"평점·인기도·흥행수익 기준 Top N 영화를 가로 막대 차트로 표시. 메트릭 전환 가능.",front/src/components/charts/TopNChart.tsx,상,FE,완료,기존 프론트 구현 활용
REQ-FE-012,기능,프론트엔드,KOBIS,통계 배너,"KOBIS 페이지 상단에 수집 기간·총 관객수·총 매출·등장 영화 수 통계를 표시한다.",front/src/App.tsx (StatCard),상,DA,완료,
REQ-FE-013,기능,프론트엔드,KOBIS,30일 추세 라인차트,"30일간 일별 총 관객수(영역)와 총 매출(라인)을 복합 차트로 표시. 툴팁에 1위 영화명 포함.",front/src/components/charts/KobisTrendChart.tsx,상,DA,완료,analysis.json 연동
REQ-FE-014,기능,프론트엔드,KOBIS,일별 박스오피스 테이블,"선택된 날짜의 박스오피스 Top 10을 테이블로 표시. 순위·영화명·개봉일·당일관객·누적관객·매출액·점유율·스크린 수 포함.",front/src/components/charts/BoxOfficeTable.tsx,상,DA,완료,"숫자 포맷 개선: 1만 이상→만 단위, 미만→명 단위"
